FolderName,FileName,AvgHammingDissimilarity
n000232,0203_01.jpg,0.5616496598639454
n000093,0210_01.jpg,0.5057624113475176
n000493,0201_01.jpg,0.5046768707482994
n000410,0335_01.jpg,0.5040391156462584
n000288,0267_02.jpg,0.5026041666666669
n000052,0052_01.jpg,0.4997829861111111
n000364,0208_01.jpg,0.4993622448979591
n000279,0256_02.jpg,0.4992378048780488
n000122,0260_03.jpg,0.4989370748299318
n000434,0460_01.jpg,0.4984809027777779
n000045,0013_03.jpg,0.4982638888888889
n000746,0090_01.jpg,0.4980620155038759
n000394,0108_02.jpg,0.4971788194444445
n000219,0099_02.jpg,0.4943576388888889
n000324,0179_02.jpg,0.4942602040816328
n000177,0291_02.jpg,0.49383503401360523
n000423,0264_01.jpg,0.4937065972222221
n000074,0021_01.jpg,0.4931972789115648
n000354,0402_03.jpg,0.4929078014184398
n000269,0322_01.jpg,0.49277210884353745
n000447,0328_01.jpg,0.4927721088435374
n000405,0184_01.jpg,0.4925595238095238
n000256,0016_01.jpg,0.49224290780141844
n000256,0002_01.jpg,0.49135638297872347
n000427,0053_02.jpg,0.4912840136054421
n000489,0320_02.jpg,0.4908854166666666
n000400,0174_01.jpg,0.4908854166666665
n000362,0250_01.jpg,0.49053030303030304
n000045,0254_03.jpg,0.490451388888889
n000362,0243_01.jpg,0.48926767676767674
n000078,0308_04.jpg,0.48873299319727903
n000243,0077_01.jpg,0.4885204081632655
n000454,0154_02.jpg,0.4883078231292517
n000527,0205_01.jpg,0.4880952380952382
n000774,0349_01.jpg,0.48806423611111116
n000450,0332_01.jpg,0.48788265306122464
n000067,0153_02.jpg,0.4867621527777779
n000041,0310_03.jpg,0.4861819727891155
n000177,0045_02.jpg,0.4857568027210884
n000444,0386_01.jpg,0.48384353741496605
n000044,0077_01.jpg,0.4836309523809524
n000394,0112_02.jpg,0.4832899305555554
n000320,0189_02.jpg,0.4829931972789115
n000489,0366_02.jpg,0.4826388888888889
n000912,0014_01.jpg,0.48256802721088426
n000354,0023_02.jpg,0.4822695035460994
n001211,0231_02.jpg,0.4819302721088436
n000309,0025_04.jpg,0.48193027210884354
n000998,0149_03.jpg,0.48184523809523816
n000482,0121_01.jpg,0.48171768707483
n000256,0421_02.jpg,0.48160460992907794
n000950,0473_01.jpg,0.48107993197278914
n000082,0023_01.jpg,0.48065476190476186
n000307,0269_02.jpg,0.4800170068027211
n001125,0104_01.jpg,0.47981770833333326
n000998,0322_01.jpg,0.47946428571428573
n000319,0295_01.jpg,0.4793792517006803
n000836,0018_02.jpg,0.47916666666666674
n000484,0458_03.jpg,0.47895408163265313
n000415,0367_01.jpg,0.47878086419753096
n000162,0232_01.jpg,0.4787414965986394
n000474,0157_02.jpg,0.47874149659863935
n000396,0110_01.jpg,0.47852891156462585
n000439,0139_02.jpg,0.47834429824561403
n000480,0018_01.jpg,0.4778645833333334
n000193,0267_02.jpg,0.47767857142857145
n000493,0110_01.jpg,0.47746598639455773
n000836,0157_01.jpg,0.4769965277777779
n000155,0112_01.jpg,0.4768282312925171
